id,hotelName,description,cityCode
115,Rove Dubai Marina,Rove Dubai Marina,DXB
116,Rove La Mer Beach,Rove La Mer Beach,DXB
117,Grand Hyatt Dubai,Grand Hyatt Dubai,DXB
118,Address Boulevard,Address Boulevard,DXB
119,City Avenue Hotel,City Avenue Hotel,DXB
120,ME Dubai by Meliá,ME Dubai by Meliá,DXB
121,Aloft Dubai Creek,Aloft Dubai Creek,DXB
122,"Atlantis, The Palm","Atlantis, The Palm",DXB
123,W Dubai - The Palm,W Dubai - The Palm,DXB
124,Jumeirah Al Naseem,Jumeirah Al Naseem,DXB
125,Armani Hotel Dubai,Armani Hotel Dubai,DXB
126,Address Dubai Mall,Address Dubai Mall,DXB
127,Asiana Hotel Dubai,Asiana Hotel Dubai,DXB
128,Aloft Dubai Airport,Aloft Dubai Airport,DXB
129,Rove Downtown Dubai,Rove Downtown Dubai,DXB
130,JA Ocean View Hotel,JA Ocean View Hotel,DXB
131,Caesars Palace Dubai,Caesars Palace Dubai,DXB
132,Jumeirah Beach Hotel,Jumeirah Beach Hotel,DXB
133,Swissotel Al Ghurair,Swissotel Al Ghurair,DXB
134,Address Beach Resort,Address Beach Resort,DXB
135,Wyndham Dubai Marina,Wyndham Dubai Marina,DXB
136,Address Dubai Marina,Address Dubai Marina,DXB
137,Jumeirah Zabeel Saray,Jumeirah Zabeel Saray,DXB
138,Burj Al Arab Jumeirah,Burj Al Arab Jumeirah,DXB
139,TRYP by Wyndham Dubai,TRYP by Wyndham Dubai,DXB
140,Hilton Dubai Jumeirah,Hilton Dubai Jumeirah,DXB
141,Palazzo Versace Dubai,Palazzo Versace Dubai,DXB
142,The Tower Plaza Hotel,The Tower Plaza Hotel,DXB
143,Hilton Dubai The Walk,Hilton Dubai The Walk,DXB
144,Sofitel Dubai Downtown,Sofitel Dubai Downtown,DXB
145,Millennium Place Marina,Millennium Place Marina,DXB
146,Rixos Premium Dubai JBR,Rixos Premium Dubai JBR,DXB
147,Signature 1 Hotel Tecom,Signature 1 Hotel Tecom,DXB
148,FIVE Palm Jumeirah Dubai,FIVE Palm Jumeirah Dubai,DXB
149,Jumeirah Creekside Hotel,Jumeirah Creekside Hotel,DXB
150,Jumeirah Emirates Towers,Jumeirah Emirates Towers,DXB
151,Grand Cosmopolitan Hotel,Grand Cosmopolitan Hotel,DXB
152,Riu Dubai - All Inclusive,Riu Dubai - All Inclusive,DXB
153,Swissôtel Al Murooj Dubai,Swissôtel Al Murooj Dubai,DXB
154,Rose Park Hotel Al Barsha,Rose Park Hotel Al Barsha,DXB
155,FIVE Jumeirah Village Dubai,FIVE Jumeirah Village Dubai,DXB
156,Majestic City Retreat Hotel,Majestic City Retreat Hotel,DXB
157,Millennium Central Downtown,Millennium Central Downtown,DXB
158,Oaks Ibn Battuta Gate Dubai,Oaks Ibn Battuta Gate Dubai,DXB
159,Sofitel Dubai Jumeirah Beach,Sofitel Dubai Jumeirah Beach,DXB
160,SLS Dubai Hotel & Residences,SLS Dubai Hotel & Residences,DXB
161,Grand Millennium Business Bay,Grand Millennium Business Bay,DXB
162,"The St. Regis Downtown, Dubai","The St. Regis Downtown, Dubai",DXB
163,Millennium Airport Hotel Dubai,Millennium Airport Hotel Dubai,DXB
164,Nikki Beach Resort & Spa Dubai,Nikki Beach Resort & Spa Dubai,DXB
165,Movenpick Hotel Jumeirah Beach,Movenpick Hotel Jumeirah Beach,DXB
166,JW Marriott Marquis Hotel Dubai,JW Marriott Marquis Hotel Dubai,DXB
167,ibis Styles Dubai Airport Hotel,ibis Styles Dubai Airport Hotel,DXB
168,Mövenpick Grand Al Bustan Dubai,Mövenpick Grand Al Bustan Dubai,DXB
169,Ramada by Wyndham Downtown Dubai,Ramada by Wyndham Downtown Dubai,DXB
170,"Crowne Plaza Dubai, an IHG Hotel","Crowne Plaza Dubai, an IHG Hotel",DXB
171,"Mandarin Oriental Jumeira, Dubai","Mandarin Oriental Jumeira, Dubai",DXB
172,Stella Di Mare Dubai Marina Hotel,Stella Di Mare Dubai Marina Hotel,DXB
173,Grand Mercure Dubai Airport Hotel,Grand Mercure Dubai Airport Hotel,DXB
174,Centara Mirage Beach Resort Dubai,Centara Mirage Beach Resort Dubai,DXB
175,Waldorf Astoria Dubai Palm Jumeirah,Waldorf Astoria Dubai Palm Jumeirah,DXB
176,Mercure Suites Dubai Barsha Heights,Mercure Suites Dubai Barsha Heights,DXB
177,DoubleTree by Hilton Dubai Al Jadaf,DoubleTree by Hilton Dubai Al Jadaf,DXB
178,Ramada Plaza by Wyndham Dubai Deira,Ramada Plaza by Wyndham Dubai Deira,DXB
179,Sofitel Dubai The Palm Resort & Spa,Sofitel Dubai The Palm Resort & Spa,DXB
180,Sheraton Dubai Creek Hotel & Towers,Sheraton Dubai Creek Hotel & Towers,DXB
181,Millennium Place Barsha Heights Hotel,Millennium Place Barsha Heights Hotel,DXB
182,"Radisson Blu Hotel, Dubai Deira Creek","Radisson Blu Hotel, Dubai Deira Creek",DXB
183,"Dukes The Palm, a Royal Hideaway Hotel","Dukes The Palm, a Royal Hideaway Hotel",DXB
184,Four Points by Sheraton Downtown Dubai,Four Points by Sheraton Downtown Dubai,DXB
185,"Crowne Plaza Dubai Marina, an IHG Hotel","Crowne Plaza Dubai Marina, an IHG Hotel",DXB
186,"Hotel Indigo Dubai Downtown, an IHG Hotel","Hotel Indigo Dubai Downtown, an IHG Hotel",DXB
187,DoubleTree by Hilton Dubai - Business Bay,DoubleTree by Hilton Dubai - Business Bay,DXB
188,Le Meridien Dubai Hotel & Conference Centre,Le Meridien Dubai Hotel & Conference Centre,DXB
189,"Crowne Plaza Dubai Apartments, an IHG Hotel","Crowne Plaza Dubai Apartments, an IHG Hotel",DXB
190,Mercure Hotel Apartments Dubai Barsha Heights,Mercure Hotel Apartments Dubai Barsha Heights,DXB
191,"Holiday Inn Express Dubai Airport, an IHG Hotel","Holiday Inn Express Dubai Airport, an IHG Hotel",DXB
192,"Four Points by Sheraton Sheikh Zayed Road, Dubai","Four Points by Sheraton Sheikh Zayed Road, Dubai",DXB
